球員,背號,球隊,出賽次數,時間 (分),兩分命中,兩分出手,兩分%,三分命中,三分出手,三分%,罰球命中,罰球出手,罰球%,得分,攻板,防板,籃板,助攻,抄截,阻攻,失誤,犯規
賴廷恩,0,臺北富邦勇士,23,12:12,1.0,2.0,50%,0.57,1.57,36.11%,0.09,0.09,100%,3.78,0.39,1.0,1.39,1.57,1.22,0.0,0.83,1.09
林書緯,1,臺北富邦勇士,17,23:15,1.76,3.76,46.88%,1.76,5.06,34.88%,0.53,1.06,50%,9.35,1.06,2.29,3.35,3.59,1.47,0.18,2.0,1.24
簡偉儒,2,臺北富邦勇士,23,21:31,1.04,2.74,38.1%,1.78,5.09,35.04%,1.09,1.43,75.76%,8.52,0.48,2.35,2.83,2.17,0.61,0.04,1.35,1.09
林冠均,6,臺北富邦勇士,0,00:00,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
張伯維,7,臺北富邦勇士,10,11:20,1.3,2.5,52%,0.5,2.6,19.23%,0.3,0.5,60%,4.4,0.3,0.7,1.0,0.1,0.3,0.3,0.8,1.2
周桂羽,8,臺北富邦勇士,18,07:32,0.33,1.17,28.57%,0.17,0.72,23.08%,0.22,0.22,100%,1.39,0.28,0.5,0.78,1.28,0.06,0.11,0.61,0.72
郭少傑,9,臺北富邦勇士,7,07:34,0.71,1.0,71.43%,0.14,1.57,9.09%,0.43,0.86,50%,2.29,0.71,0.14,0.86,0.29,0.14,0.0,0.71,0.43
林志傑,12,臺北富邦勇士,16,25:57,2.19,3.88,56.45%,1.69,6.06,27.84%,2.25,2.75,81.82%,11.69,0.88,4.88,5.75,3.88,0.94,0.13,2.0,1.38
林孟學,13,臺北富邦勇士,20,14:09,1.4,2.75,50.91%,0.05,0.55,9.09%,0.5,1.0,50%,3.45,0.8,1.4,2.2,0.6,0.4,0.25,0.75,0.95
蔡文誠,14,臺北富邦勇士,22,17:53,2.14,4.82,44.34%,0.59,1.18,50%,0.77,1.14,68%,6.82,1.5,2.73,4.23,1.86,1.0,0.18,1.23,1.27
曾祥鈞,21,臺北富邦勇士,24,20:41,2.71,5.13,52.85%,0.0,0.13,0%,0.88,1.71,51.22%,6.29,2.38,3.92,6.29,0.88,0.5,0.96,0.58,1.88
石博恩,23,臺北富邦勇士,14,11:12,0.93,2.21,41.94%,0.36,1.64,21.74%,0.43,0.71,60%,3.36,1.64,2.5,4.14,0.36,0.36,0.36,0.71,1.36
曾文鼎,76,臺北富邦勇士,15,15:04,1.07,1.8,59.26%,0.4,1.8,22.22%,0.13,0.4,33.33%,3.47,0.27,2.53,2.8,2.33,0.8,0.67,1.0,0.93
張宗憲,3,臺北富邦勇士,22,30:06,4.68,10.45,44.78%,1.55,4.5,34.34%,1.64,2.91,56.25%,15.64,0.68,1.82,2.5,2.86,1.77,0.09,2.14,1.55
辛特力,17,臺北富邦勇士,16,33:41,4.63,9.31,49.66%,2.19,6.06,36.08%,4.56,5.5,82.95%,20.38,2.25,7.63,9.88,4.06,1.31,0.25,3.31,2.13
塞瑟夫,32,臺北富邦勇士,18,36:02,5.56,9.83,56.5%,0.94,3.11,30.36%,3.22,4.94,65.17%,17.17,3.56,9.44,13.0,2.44,0.94,0.83,2.56,3.17
賈西亞,36,臺北富邦勇士,14,33:10,6.5,11.0,59.09%,0.36,1.0,35.71%,5.93,8.0,74.11%,20.0,3.71,8.86,12.57,1.64,1.07,0.86,2.64,3.29
關達祐,6,桃園領航猿,21,22:35,1.95,4.52,43.16%,0.81,3.19,25.37%,1.0,1.81,55.26%,7.33,0.76,2.1,2.86,3.14,1.14,0.05,2.43,2.14
林耀宗,7,桃園領航猿,22,17:02,1.95,3.95,49.43%,0.27,1.41,19.35%,0.41,1.18,34.62%,5.14,1.27,3.18,4.45,0.91,0.73,0.05,1.32,1.05
陳世杰,8,桃園領航猿,0,00:00,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
陳冠全,30,桃園領航猿,24,26:54,1.79,4.33,41.35%,0.63,2.29,27.27%,0.46,0.54,84.62%,5.92,1.29,3.38,4.67,1.38,0.71,0.25,1.33,2.21
孫思堯,15,桃園領航猿,9,09:23,0.78,1.56,50%,0.0,0.0,0%,0.0,0.0,0%,1.56,0.56,2.0,2.56,0.11,0.22,0.11,0.44,1.89
陳靖寰,23,桃園領航猿,23,15:36,0.74,1.39,53.13%,0.78,2.57,30.51%,0.48,0.65,73.33%,4.3,0.48,1.13,1.61,1.43,0.48,0.17,0.83,2.22
施晉堯,28,桃園領航猿,24,32:39,2.79,5.71,48.91%,2.38,6.38,37.25%,1.46,2.54,57.38%,14.17,0.58,2.67,3.25,3.63,1.29,0.17,2.29,3.13
彭俊諺,63,桃園領航猿,16,20:38,0.31,1.75,17.86%,0.44,2.13,20.59%,1.0,1.5,66.67%,2.94,0.44,2.06,2.5,4.63,1.19,0.06,2.25,1.88
張耕淯,29,桃園領航猿,23,14:24,1.65,4.04,40.86%,0.74,2.39,30.91%,0.96,1.26,75.86%,6.48,0.43,1.26,1.7,0.78,0.43,0.13,0.65,1.0
林正,25,桃園領航猿,12,15:29,1.33,3.0,44.44%,0.17,0.67,25%,0.75,1.42,52.94%,3.92,1.92,3.08,5.0,0.75,0.33,0.25,0.67,2.58
戴維斯,50,桃園領航猿,16,29:27,3.94,6.5,60.58%,1.06,2.94,36.17%,1.94,2.88,67.39%,13.0,4.5,5.63,10.13,1.88,1.0,2.44,1.88,2.06
里德,5,桃園領航猿,15,39:55,5.47,11.2,48.81%,3.4,9.07,37.5%,4.53,6.07,74.73%,25.67,1.8,7.87,9.67,4.8,1.93,1.0,4.2,2.53
沃倫,13,桃園領航猿,4,36:46,3.25,7.25,44.83%,0.5,3.25,15.38%,4.75,4.75,100%,12.75,0.25,6.5,6.75,7.0,1.5,0.0,3.25,2.0
賴國維,18,桃園領航猿,14,06:06,0.07,0.29,25%,0.43,1.36,31.58%,0.21,0.43,50%,1.64,0.0,0.64,0.64,1.0,0.29,0.0,1.14,0.93
傑克,40,桃園領航猿,18,34:24,7.67,14.11,54.33%,0.67,2.5,26.67%,3.06,5.28,57.89%,20.39,3.22,9.94,13.17,2.0,1.0,1.28,3.5,1.89
丁聖儒,3,桃園領航猿,0,00:00,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
喬登,12,桃園領航猿,8,33:30,2.88,6.0,47.92%,3.75,9.38,40%,1.75,1.75,100%,18.75,0.25,4.88,5.13,2.5,1.0,0.88,1.5,1.75
成力煥,21,新竹街口攻城獅,24,29:48,3.96,8.0,49.48%,1.04,3.63,28.74%,2.21,2.83,77.94%,13.25,1.33,2.79,4.13,2.29,0.79,0.08,1.17,2.63
李家瑞,12,新竹街口攻城獅,24,20:50,1.33,4.04,32.99%,0.75,2.88,26.09%,1.04,1.92,54.35%,5.96,0.79,3.13,3.92,1.63,0.33,0.38,1.75,1.54
蕭順議,1,新竹街口攻城獅,21,13:00,1.24,2.62,47.27%,0.24,0.81,29.41%,1.14,1.86,61.54%,4.33,0.62,1.1,1.71,0.81,0.38,0.05,1.05,1.95
宋宇軒,5,新竹街口攻城獅,10,09:47,1.8,3.7,48.65%,0.2,0.5,40%,1.0,1.3,76.92%,5.2,0.4,0.4,0.8,1.0,0.3,0.1,0.7,0.7
鄭瑋,2,新竹街口攻城獅,15,13:26,0.8,1.67,48%,0.47,2.0,23.33%,0.73,1.07,68.75%,3.73,0.2,0.53,0.73,1.4,1.13,0.0,0.93,1.33
林力仁,7,新竹街口攻城獅,7,07:13,0.0,0.71,0%,0.43,2.29,18.75%,0.29,0.29,100%,1.57,0.29,0.29,0.57,0.29,0.0,0.0,0.57,1.14
潘冠翰,11,新竹街口攻城獅,13,13:22,0.38,1.92,20%,0.38,1.62,23.81%,0.54,1.08,50%,2.46,0.46,1.54,2.0,0.62,0.62,0.15,1.08,1.62
